City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
177,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
178,Kilinochchi,LK,79.7,overcast clouds,9.3961,80.3982,Solaivanam Guest House
180,Souillac,MU,77.81,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
186,Mancio Lima,BR,75.13,light rain,-7.6142,-72.8958,Motel Asas Do Desejo
187,Awjilah,LY,85.53,clear sky,29.1081,21.2869,المنزل
189,Ndungu,TZ,84.96,broken clouds,-4.3667,38.05,Nick Resort
192,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
196,Kenda,IN,83.62,clear sky,23.2,86.5333,Dilip kumar mudi
200,Nauta,PE,77.0,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
201,Aquiraz,BR,78.19,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
203,Bandarbeyla,SO,82.02,clear sky,9.4942,50.8122,JABIR HOTEL
205,Gamba,GA,81.93,overcast clouds,-2.65,10.0,
211,Alofi,NU,75.09,clear sky,-19.0595,-169.9187,Taloa Heights
213,Tual,ID,84.33,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
217,Roebourne,AU,85.68,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
219,Salalah,OM,82.85,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
226,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
231,Aripuana,BR,87.44,overcast clouds,-9.1667,-60.6333,
234,Touros,BR,87.71,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
235,Jurado,CO,77.79,light rain,7.1053,-77.7641,
242,Abu Kamal,SY,83.73,overcast clouds,34.4506,40.9171,محطة التلفاز
248,Baragua,CU,80.42,clear sky,21.6967,-78.6328,Hotel Itabo
252,Buraydah,SA,89.53,broken clouds,26.326,43.975,Mövenpick Qassim
